"Information Title","Information Title"
"Information Content","Information Content"
"Applicable to payment methods","Applicable to payment methods"
"Recover Email Sender","Recover Email Sender"
"Recover Email Template","Recover Email Template"
"Recover Email Template for Guest","Recover Email Template for Guest"
"Recover Email Copy To","Recover Email Copy To"
"Recover Email Copy Method","Recover Email Copy Method"
"Oops, your payment failed!","Oops, your payment failed!"
"%name, how about a payment slip in installments?","%name, how about a payment slip in installments?"
"You can divide your order %increment_id in Boleto Bancário into <strong>3 or up to 18 installments</strong>, with the first payment only after 30 days!","You can divide your order %increment_id in Boleto Bancário into <strong>3 or up to 18 installments</strong>, with the first payment only after 30 days!"
"Use the Boleto Parcelado - Fluxx payment method to complete your order and guarantee this offer.","Use the Boleto Parcelado - Fluxx payment method to complete your order and guarantee this offer."
"Redo my order","Redo my order"